file_name,replicate,sample_day,cell_density,start_time,cell_volume
data-raw/flowcam-summaries-apr30/1_summary,1,lst,1132,2017-04-30  16:12:47,544.90
data-raw/flowcam-summaries-apr30/10_summary,10,lst,1430,2017-04-30  16:24:52,727.09
data-raw/flowcam-summaries-apr30/11_summary,11,lst,1748,2017-04-30  16:26:05,684.11
data-raw/flowcam-summaries-apr30/12_summary,12,lst,1672,2017-04-30  16:27:13,796.60
data-raw/flowcam-summaries-apr30/13_summary,13,lst,1639,2017-04-30  16:28:26,747.95
data-raw/flowcam-summaries-apr30/14_summary,14,lst,1216,2017-04-30  16:29:53,599.70
data-raw/flowcam-summaries-apr30/15_summary,15,lst,1022,2017-04-30  16:31:11,1746.72
data-raw/flowcam-summaries-apr30/16_summary,16,lst,1250,2017-04-30  16:32:25,710.63
data-raw/flowcam-summaries-apr30/2_summary,2,lst,2084,2017-04-30  16:14:20,913.39
data-raw/flowcam-summaries-apr30/3_summary,3,lst,1271,2017-04-30  16:15:47,609.17
data-raw/flowcam-summaries-apr30/4_summary,4,lst,1393,2017-04-30  16:17:20,686.46
data-raw/flowcam-summaries-apr30/5_summary,5,lst,1049,2017-04-30  16:18:32,689.28
data-raw/flowcam-summaries-apr30/6_summary,6,lst,1010,2017-04-30  16:19:49,537.59
data-raw/flowcam-summaries-apr30/7_summary,7,lst,1708,2017-04-30  16:21:06,854.18
data-raw/flowcam-summaries-apr30/8_summary,8,lst,1291,2017-04-30  16:22:20,590.62
data-raw/flowcam-summaries-apr30/9_summary,9,lst,1167,2017-04-30  16:23:33,629.46
data-raw/flowcam-summaries-may01/1_summary,1,lst,232,2017-05-01  14:54:38,522.84
data-raw/flowcam-summaries-may01/10_summary,10,lst,1031,2017-05-01  15:05:15,905.69
data-raw/flowcam-summaries-may01/11_summary,11,lst,738,2017-05-01  14:51:53,1023.82
data-raw/flowcam-summaries-may01/12_summary,12,lst,1778,2017-05-01  15:10:18,801.65
data-raw/flowcam-summaries-may01/13_summary,13,lst,1017,2017-05-01  15:13:58,905.58
data-raw/flowcam-summaries-may01/14_summary,14,lst,1207,2017-05-01  15:12:06,627.39
data-raw/flowcam-summaries-may01/15_summary,15,lst,1472,2017-05-01  15:21:46,809.37
data-raw/flowcam-summaries-may01/16_summary,16,lst,1083,2017-05-01  15:20:03,861.73
data-raw/flowcam-summaries-may01/2_summary,2,lst,988,2017-05-01  14:56:14,986.83
data-raw/flowcam-summaries-may01/3_summary,3,lst,792,2017-05-01  15:01:36,856.13
data-raw/flowcam-summaries-may01/4_summary,4,lst,1189,2017-05-01  14:58:08,716.65
data-raw/flowcam-summaries-may01/5_summary,5,lst,1235,2017-05-01  15:08:37,698.72
data-raw/flowcam-summaries-may01/6_summary,6,lst,1140,2017-05-01  14:59:46,980.64
data-raw/flowcam-summaries-may01/7_summary,7,lst,1373,2017-05-01  15:03:13,809.60
data-raw/flowcam-summaries-may01/8_summary,8,lst,1326,2017-05-01  15:15:48,828.66
data-raw/flowcam-summaries-may01/9_summary,9,lst,1192,2017-05-01  15:18:19,836.15
data-raw/flowcam-summaries-may02/1_summary,1,lst,3659,2017-05-02  16:41:55,1120.89
data-raw/flowcam-summaries-may02/10_summary,10,lst,2937,2017-05-02  16:52:23,1284.49
data-raw/flowcam-summaries-may02/11_summary,11,lst,5362,2017-05-02  16:40:12,1258.57
