isolate.code,time,lat,lon,sst
211,2010-03-02T00:00:00Z,41.625,-71.375,NaN
211,2010-03-02T00:00:00Z,41.625,-71.125,NaN
211,2010-03-02T00:00:00Z,41.875,-71.375,NaN
211,2010-03-02T00:00:00Z,41.875,-71.125,NaN
211,2010-03-03T00:00:00Z,41.625,-71.375,NaN
211,2010-03-03T00:00:00Z,41.625,-71.125,NaN
211,2010-03-03T00:00:00Z,41.875,-71.375,NaN
211,2010-03-03T00:00:00Z,41.875,-71.125,NaN
211,2010-03-04T00:00:00Z,41.625,-71.375,NaN
211,2010-03-04T00:00:00Z,41.625,-71.125,NaN
211,2010-03-04T00:00:00Z,41.875,-71.375,NaN
211,2010-03-04T00:00:00Z,41.875,-71.125,NaN
211,2010-03-05T00:00:00Z,41.625,-71.375,NaN
211,2010-03-05T00:00:00Z,41.625,-71.125,NaN
211,2010-03-05T00:00:00Z,41.875,-71.375,NaN
211,2010-03-05T00:00:00Z,41.875,-71.125,NaN
211,2010-03-06T00:00:00Z,41.625,-71.375,NaN
211,2010-03-06T00:00:00Z,41.625,-71.125,NaN
211,2010-03-06T00:00:00Z,41.875,-71.375,NaN
211,2010-03-06T00:00:00Z,41.875,-71.125,NaN
211,2010-03-07T00:00:00Z,41.625,-71.375,NaN
211,2010-03-07T00:00:00Z,41.625,-71.125,NaN
211,2010-03-07T00:00:00Z,41.875,-71.375,NaN
211,2010-03-07T00:00:00Z,41.875,-71.125,NaN
211,2010-03-08T00:00:00Z,41.625,-71.375,NaN
211,2010-03-08T00:00:00Z,41.625,-71.125,NaN
211,2010-03-08T00:00:00Z,41.875,-71.375,NaN
211,2010-03-08T00:00:00Z,41.875,-71.125,NaN
211,2010-03-09T00:00:00Z,41.625,-71.375,NaN
211,2010-03-09T00:00:00Z,41.625,-71.125,NaN
211,2010-03-09T00:00:00Z,41.875,-71.375,NaN
211,2010-03-09T00:00:00Z,41.875,-71.125,NaN
211,2010-03-10T00:00:00Z,41.625,-71.375,NaN
211,2010-03-10T00:00:00Z,41.625,-71.125,NaN
211,2010-03-10T00:00:00Z,41.875,-71.375,NaN
211,2010-03-10T00:00:00Z,41.875,-71.125,NaN
211,2010-03-11T00:00:00Z,41.625,-71.375,NaN
211,2010-03-11T00:00:00Z,41.625,-71.125,NaN
211,2010-03-11T00:00:00Z,41.875,-71.375,NaN
211,2010-03-11T00:00:00Z,41.875,-71.125,NaN
211,2010-03-12T00:00:00Z,41.625,-71.375,NaN
211,2010-03-12T00:00:00Z,41.625,-71.125,NaN
211,2010-03-12T00:00:00Z,41.875,-71.375,NaN
211,2010-03-12T00:00:00Z,41.875,-71.125,NaN
211,2010-03-13T00:00:00Z,41.625,-71.375,NaN
211,2010-03-13T00:00:00Z,41.625,-71.125,NaN
211,2010-03-13T00:00:00Z,41.875,-71.375,NaN
211,2010-03-13T00:00:00Z,41.875,-71.125,NaN
211,2010-03-14T00:00:00Z,41.625,-71.375,NaN
211,2010-03-14T00:00:00Z,41.625,-71.125,NaN
211,2010-03-14T00:00:00Z,41.875,-71.375,NaN
211,2010-03-14T00:00:00Z,41.875,-71.125,NaN
211,2010-03-15T00:00:00Z,41.625,-71.375,NaN
211,2010-03-15T00:00:00Z,41.625,-71.125,NaN
211,2010-03-15T00:00:00Z,41.875,-71.375,NaN
211,2010-03-15T00:00:00Z,41.875,-71.125,NaN
211,2010-03-16T00:00:00Z,41.625,-71.375,NaN
211,2010-03-16T00:00:00Z,41.625,-71.125,NaN
211,2010-03-16T00:00:00Z,41.875,-71.375,NaN
211,2010-03-16T00:00:00Z,41.875,-71.125,NaN
211,2010-03-17T00:00:00Z,41.625,-71.375,NaN
211,2010-03-17T00:00:00Z,41.625,-71.125,NaN
211,2010-03-17T00:00:00Z,41.875,-71.375,NaN
211,2010-03-17T00:00:00Z,41.875,-71.125,NaN
211,2010-03-18T00:00:00Z,41.625,-71.375,NaN
211,2010-03-18T00:00:00Z,41.625,-71.125,NaN
211,2010-03-18T00:00:00Z,41.875,-71.375,NaN
211,2010-03-18T00:00:00Z,41.875,-71.125,NaN
211,2010-03-19T00:00:00Z,41.625,-71.375,NaN
211,2010-03-19T00:00:00Z,41.625,-71.125,NaN
211,2010-03-19T00:00:00Z,41.875,-71.375,NaN
211,2010-03-19T00:00:00Z,41.875,-71.125,NaN
211,2010-03-20T00:00:00Z,41.625,-71.375,NaN
211,2010-03-20T00:00:00Z,41.625,-71.125,NaN
211,2010-03-20T00:00:00Z,41.875,-71.375,NaN
211,2010-03-20T00:00:00Z,41.875,-71.125,NaN
211,2010-03-21T00:00:00Z,41.625,-71.375,NaN
211,2010-03-21T00:00:00Z,41.625,-71.125,NaN
211,2010-03-21T00:00:00Z,41.875,-71.375,NaN
211,2010-03-21T00:00:00Z,41.875,-71.125,NaN
211,2010-03-22T00:00:00Z,41.625,-71.375,NaN
211,2010-03-22T00:00:00Z,41.625,-71.125,NaN
211,2010-03-22T00:00:00Z,41.875,-71.375,NaN
211,2010-03-22T00:00:00Z,41.875,-71.125,NaN
211,2010-03-23T00:00:00Z,41.625,-71.375,NaN
211,2010-03-23T00:00:00Z,41.625,-71.125,NaN
211,2010-03-23T00:00:00Z,41.875,-71.375,NaN
211,2010-03-23T00:00:00Z,41.875,-71.125,NaN
211,2010-03-24T00:00:00Z,41.625,-71.375,NaN
211,2010-03-24T00:00:00Z,41.625,-71.125,NaN
211,2010-03-24T00:00:00Z,41.875,-71.375,NaN
211,2010-03-24T00:00:00Z,41.875,-71.125,NaN
211,2010-03-25T00:00:00Z,41.625,-71.375,NaN
211,2010-03-25T00:00:00Z,41.625,-71.125,NaN
211,2010-03-25T00:00:00Z,41.875,-71.375,NaN
211,2010-03-25T00:00:00Z,41.875,-71.125,NaN
211,2010-03-26T00:00:00Z,41.625,-71.375,NaN
211,2010-03-26T00:00:00Z,41.625,-71.125,NaN
211,2010-03-26T00:00:00Z,41.875,-71.375,NaN
211,2010-03-26T00:00:00Z,41.875,-71.125,NaN
211,2010-03-27T00:00:00Z,41.625,-71.375,NaN
211,2010-03-27T00:00:00Z,41.625,-71.125,NaN
211,2010-03-27T00:00:00Z,41.875,-71.375,NaN
211,2010-03-27T00:00:00Z,41.875,-71.125,NaN
211,2010-03-28T00:00:00Z,41.625,-71.375,NaN
211,2010-03-28T00:00:00Z,41.625,-71.125,NaN
211,2010-03-28T00:00:00Z,41.875,-71.375,NaN
211,2010-03-28T00:00:00Z,41.875,-71.125,NaN
211,2010-03-29T00:00:00Z,41.625,-71.375,NaN
211,2010-03-29T00:00:00Z,41.625,-71.125,NaN
211,2010-03-29T00:00:00Z,41.875,-71.375,NaN
211,2010-03-29T00:00:00Z,41.875,-71.125,NaN
211,2010-03-30T00:00:00Z,41.625,-71.375,NaN
211,2010-03-30T00:00:00Z,41.625,-71.125,NaN
211,2010-03-30T00:00:00Z,41.875,-71.375,NaN
211,2010-03-30T00:00:00Z,41.875,-71.125,NaN
211,2010-03-31T00:00:00Z,41.625,-71.375,NaN
211,2010-03-31T00:00:00Z,41.625,-71.125,NaN
211,2010-03-31T00:00:00Z,41.875,-71.375,NaN
211,2010-03-31T00:00:00Z,41.875,-71.125,NaN
211,2010-04-01T00:00:00Z,41.625,-71.375,NaN
211,2010-04-01T00:00:00Z,41.625,-71.125,NaN
211,2010-04-01T00:00:00Z,41.875,-71.375,NaN
211,2010-04-01T00:00:00Z,41.875,-71.125,NaN
211,2010-04-02T00:00:00Z,41.625,-71.375,NaN
211,2010-04-02T00:00:00Z,41.625,-71.125,NaN
211,2010-04-02T00:00:00Z,41.875,-71.375,NaN
211,2010-04-02T00:00:00Z,41.875,-71.125,NaN
211,2010-04-03T00:00:00Z,41.625,-71.375,NaN
211,2010-04-03T00:00:00Z,41.625,-71.125,NaN
211,2010-04-03T00:00:00Z,41.875,-71.375,NaN
211,2010-04-03T00:00:00Z,41.875,-71.125,NaN
211,2010-04-04T00:00:00Z,41.625,-71.375,NaN
211,2010-04-04T00:00:00Z,41.625,-71.125,NaN
211,2010-04-04T00:00:00Z,41.875,-71.375,NaN
211,2010-04-04T00:00:00Z,41.875,-71.125,NaN
211,2010-04-05T00:00:00Z,41.625,-71.375,NaN
211,2010-04-05T00:00:00Z,41.625,-71.125,NaN
211,2010-04-05T00:00:00Z,41.875,-71.375,NaN
211,2010-04-05T00:00:00Z,41.875,-71.125,NaN
211,2010-04-06T00:00:00Z,41.625,-71.375,NaN
211,2010-04-06T00:00:00Z,41.625,-71.125,NaN
211,2010-04-06T00:00:00Z,41.875,-71.375,NaN
211,2010-04-06T00:00:00Z,41.875,-71.125,NaN
211,2010-04-07T00:00:00Z,41.625,-71.375,NaN
211,2010-04-07T00:00:00Z,41.625,-71.125,NaN
211,2010-04-07T00:00:00Z,41.875,-71.375,NaN
211,2010-04-07T00:00:00Z,41.875,-71.125,NaN
211,2010-04-08T00:00:00Z,41.625,-71.375,NaN
211,2010-04-08T00:00:00Z,41.625,-71.125,NaN
211,2010-04-08T00:00:00Z,41.875,-71.375,NaN
211,2010-04-08T00:00:00Z,41.875,-71.125,NaN
211,2010-04-09T00:00:00Z,41.625,-71.375,NaN
211,2010-04-09T00:00:00Z,41.625,-71.125,NaN
211,2010-04-09T00:00:00Z,41.875,-71.375,NaN
211,2010-04-09T00:00:00Z,41.875,-71.125,NaN
211,2010-04-10T00:00:00Z,41.625,-71.375,NaN
211,2010-04-10T00:00:00Z,41.625,-71.125,NaN
211,2010-04-10T00:00:00Z,41.875,-71.375,NaN
211,2010-04-10T00:00:00Z,41.875,-71.125,NaN
211,2010-04-11T00:00:00Z,41.625,-71.375,NaN
211,2010-04-11T00:00:00Z,41.625,-71.125,NaN
211,2010-04-11T00:00:00Z,41.875,-71.375,NaN
211,2010-04-11T00:00:00Z,41.875,-71.125,NaN
211,2010-04-12T00:00:00Z,41.625,-71.375,NaN
211,2010-04-12T00:00:00Z,41.625,-71.125,NaN
211,2010-04-12T00:00:00Z,41.875,-71.375,NaN
211,2010-04-12T00:00:00Z,41.875,-71.125,NaN
211,2010-04-13T00:00:00Z,41.625,-71.375,NaN
211,2010-04-13T00:00:00Z,41.625,-71.125,NaN
211,2010-04-13T00:00:00Z,41.875,-71.375,NaN
211,2010-04-13T00:00:00Z,41.875,-71.125,NaN
211,2010-04-14T00:00:00Z,41.625,-71.375,NaN
211,2010-04-14T00:00:00Z,41.625,-71.125,NaN
211,2010-04-14T00:00:00Z,41.875,-71.375,NaN
211,2010-04-14T00:00:00Z,41.875,-71.125,NaN
211,2010-04-15T00:00:00Z,41.625,-71.375,NaN
211,2010-04-15T00:00:00Z,41.625,-71.125,NaN
211,2010-04-15T00:00:00Z,41.875,-71.375,NaN
211,2010-04-15T00:00:00Z,41.875,-71.125,NaN
211,2010-04-16T00:00:00Z,41.625,-71.375,NaN
211,2010-04-16T00:00:00Z,41.625,-71.125,NaN
211,2010-04-16T00:00:00Z,41.875,-71.375,NaN
211,2010-04-16T00:00:00Z,41.875,-71.125,NaN
211,2010-04-17T00:00:00Z,41.625,-71.375,NaN
211,2010-04-17T00:00:00Z,41.625,-71.125,NaN
211,2010-04-17T00:00:00Z,41.875,-71.375,NaN
211,2010-04-17T00:00:00Z,41.875,-71.125,NaN
211,2010-04-18T00:00:00Z,41.625,-71.375,NaN
211,2010-04-18T00:00:00Z,41.625,-71.125,NaN
211,2010-04-18T00:00:00Z,41.875,-71.375,NaN
211,2010-04-18T00:00:00Z,41.875,-71.125,NaN
211,2010-04-19T00:00:00Z,41.625,-71.375,NaN
211,2010-04-19T00:00:00Z,41.625,-71.125,NaN
211,2010-04-19T00:00:00Z,41.875,-71.375,NaN
211,2010-04-19T00:00:00Z,41.875,-71.125,NaN
211,2010-04-20T00:00:00Z,41.625,-71.375,NaN
211,2010-04-20T00:00:00Z,41.625,-71.125,NaN
211,2010-04-20T00:00:00Z,41.875,-71.375,NaN
211,2010-04-20T00:00:00Z,41.875,-71.125,NaN
211,2010-04-21T00:00:00Z,41.625,-71.375,NaN
211,2010-04-21T00:00:00Z,41.625,-71.125,NaN
211,2010-04-21T00:00:00Z,41.875,-71.375,NaN
211,2010-04-21T00:00:00Z,41.875,-71.125,NaN
211,2010-04-22T00:00:00Z,41.625,-71.375,NaN
211,2010-04-22T00:00:00Z,41.625,-71.125,NaN
211,2010-04-22T00:00:00Z,41.875,-71.375,NaN
211,2010-04-22T00:00:00Z,41.875,-71.125,NaN
211,2010-04-23T00:00:00Z,41.625,-71.375,NaN
211,2010-04-23T00:00:00Z,41.625,-71.125,NaN
211,2010-04-23T00:00:00Z,41.875,-71.375,NaN
211,2010-04-23T00:00:00Z,41.875,-71.125,NaN
211,2010-04-24T00:00:00Z,41.625,-71.375,NaN
211,2010-04-24T00:00:00Z,41.625,-71.125,NaN
211,2010-04-24T00:00:00Z,41.875,-71.375,NaN
211,2010-04-24T00:00:00Z,41.875,-71.125,NaN
211,2010-04-25T00:00:00Z,41.625,-71.375,NaN
211,2010-04-25T00:00:00Z,41.625,-71.125,NaN
211,2010-04-25T00:00:00Z,41.875,-71.375,NaN
211,2010-04-25T00:00:00Z,41.875,-71.125,NaN
211,2010-04-26T00:00:00Z,41.625,-71.375,NaN
211,2010-04-26T00:00:00Z,41.625,-71.125,NaN
211,2010-04-26T00:00:00Z,41.875,-71.375,NaN
211,2010-04-26T00:00:00Z,41.875,-71.125,NaN
211,2010-04-27T00:00:00Z,41.625,-71.375,NaN
211,2010-04-27T00:00:00Z,41.625,-71.125,NaN
211,2010-04-27T00:00:00Z,41.875,-71.375,NaN
211,2010-04-27T00:00:00Z,41.875,-71.125,NaN
211,2010-04-28T00:00:00Z,41.625,-71.375,NaN
211,2010-04-28T00:00:00Z,41.625,-71.125,NaN
211,2010-04-28T00:00:00Z,41.875,-71.375,NaN
211,2010-04-28T00:00:00Z,41.875,-71.125,NaN
211,2010-04-29T00:00:00Z,41.625,-71.375,NaN
211,2010-04-29T00:00:00Z,41.625,-71.125,NaN
211,2010-04-29T00:00:00Z,41.875,-71.375,NaN
211,2010-04-29T00:00:00Z,41.875,-71.125,NaN
211,2010-04-30T00:00:00Z,41.625,-71.375,NaN
211,2010-04-30T00:00:00Z,41.625,-71.125,NaN
211,2010-04-30T00:00:00Z,41.875,-71.375,NaN
211,2010-04-30T00:00:00Z,41.875,-71.125,NaN
211,2010-05-01T00:00:00Z,41.625,-71.375,NaN
211,2010-05-01T00:00:00Z,41.625,-71.125,NaN
211,2010-05-01T00:00:00Z,41.875,-71.375,NaN
211,2010-05-01T00:00:00Z,41.875,-71.125,NaN
211,2010-05-02T00:00:00Z,41.625,-71.375,NaN
211,2010-05-02T00:00:00Z,41.625,-71.125,NaN
211,2010-05-02T00:00:00Z,41.875,-71.375,NaN
211,2010-05-02T00:00:00Z,41.875,-71.125,NaN
211,2010-05-03T00:00:00Z,41.625,-71.375,NaN
211,2010-05-03T00:00:00Z,41.625,-71.125,NaN
211,2010-05-03T00:00:00Z,41.875,-71.375,NaN
211,2010-05-03T00:00:00Z,41.875,-71.125,NaN
211,2010-05-04T00:00:00Z,41.625,-71.375,NaN
211,2010-05-04T00:00:00Z,41.625,-71.125,NaN
211,2010-05-04T00:00:00Z,41.875,-71.375,NaN
211,2010-05-04T00:00:00Z,41.875,-71.125,NaN
211,2010-05-05T00:00:00Z,41.625,-71.375,NaN
211,2010-05-05T00:00:00Z,41.625,-71.125,NaN
211,2010-05-05T00:00:00Z,41.875,-71.375,NaN
211,2010-05-05T00:00:00Z,41.875,-71.125,NaN
211,2010-05-06T00:00:00Z,41.625,-71.375,NaN
211,2010-05-06T00:00:00Z,41.625,-71.125,NaN
211,2010-05-06T00:00:00Z,41.875,-71.375,NaN
211,2010-05-06T00:00:00Z,41.875,-71.125,NaN
211,2010-05-07T00:00:00Z,41.625,-71.375,NaN
211,2010-05-07T00:00:00Z,41.625,-71.125,NaN
211,2010-05-07T00:00:00Z,41.875,-71.375,NaN
211,2010-05-07T00:00:00Z,41.875,-71.125,NaN
211,2010-05-08T00:00:00Z,41.625,-71.375,NaN
211,2010-05-08T00:00:00Z,41.625,-71.125,NaN
211,2010-05-08T00:00:00Z,41.875,-71.375,NaN
211,2010-05-08T00:00:00Z,41.875,-71.125,NaN
211,2010-05-09T00:00:00Z,41.625,-71.375,NaN
211,2010-05-09T00:00:00Z,41.625,-71.125,NaN
211,2010-05-09T00:00:00Z,41.875,-71.375,NaN
211,2010-05-09T00:00:00Z,41.875,-71.125,NaN
211,2010-05-10T00:00:00Z,41.625,-71.375,NaN
211,2010-05-10T00:00:00Z,41.625,-71.125,NaN
211,2010-05-10T00:00:00Z,41.875,-71.375,NaN
211,2010-05-10T00:00:00Z,41.875,-71.125,NaN
211,2010-05-11T00:00:00Z,41.625,-71.375,NaN
211,2010-05-11T00:00:00Z,41.625,-71.125,NaN
211,2010-05-11T00:00:00Z,41.875,-71.375,NaN
211,2010-05-11T00:00:00Z,41.875,-71.125,NaN
211,2010-05-12T00:00:00Z,41.625,-71.375,NaN
211,2010-05-12T00:00:00Z,41.625,-71.125,NaN
211,2010-05-12T00:00:00Z,41.875,-71.375,NaN
211,2010-05-12T00:00:00Z,41.875,-71.125,NaN
211,2010-05-13T00:00:00Z,41.625,-71.375,NaN
211,2010-05-13T00:00:00Z,41.625,-71.125,NaN
211,2010-05-13T00:00:00Z,41.875,-71.375,NaN
211,2010-05-13T00:00:00Z,41.875,-71.125,NaN
211,2010-05-14T00:00:00Z,41.625,-71.375,NaN
211,2010-05-14T00:00:00Z,41.625,-71.125,NaN
211,2010-05-14T00:00:00Z,41.875,-71.375,NaN
211,2010-05-14T00:00:00Z,41.875,-71.125,NaN
211,2010-05-15T00:00:00Z,41.625,-71.375,NaN
211,2010-05-15T00:00:00Z,41.625,-71.125,NaN
211,2010-05-15T00:00:00Z,41.875,-71.375,NaN
211,2010-05-15T00:00:00Z,41.875,-71.125,NaN
211,2010-05-16T00:00:00Z,41.625,-71.375,NaN
211,2010-05-16T00:00:00Z,41.625,-71.125,NaN
211,2010-05-16T00:00:00Z,41.875,-71.375,NaN
211,2010-05-16T00:00:00Z,41.875,-71.125,NaN
211,2010-05-17T00:00:00Z,41.625,-71.375,NaN
211,2010-05-17T00:00:00Z,41.625,-71.125,NaN
211,2010-05-17T00:00:00Z,41.875,-71.375,NaN
211,2010-05-17T00:00:00Z,41.875,-71.125,NaN
211,2010-05-18T00:00:00Z,41.625,-71.375,NaN
211,2010-05-18T00:00:00Z,41.625,-71.125,NaN
211,2010-05-18T00:00:00Z,41.875,-71.375,NaN
211,2010-05-18T00:00:00Z,41.875,-71.125,NaN
211,2010-05-19T00:00:00Z,41.625,-71.375,NaN
211,2010-05-19T00:00:00Z,41.625,-71.125,NaN
211,2010-05-19T00:00:00Z,41.875,-71.375,NaN
211,2010-05-19T00:00:00Z,41.875,-71.125,NaN
211,2010-05-20T00:00:00Z,41.625,-71.375,NaN
211,2010-05-20T00:00:00Z,41.625,-71.125,NaN
211,2010-05-20T00:00:00Z,41.875,-71.375,NaN
211,2010-05-20T00:00:00Z,41.875,-71.125,NaN
211,2010-05-21T00:00:00Z,41.625,-71.375,NaN
211,2010-05-21T00:00:00Z,41.625,-71.125,NaN
211,2010-05-21T00:00:00Z,41.875,-71.375,NaN
211,2010-05-21T00:00:00Z,41.875,-71.125,NaN
211,2010-05-22T00:00:00Z,41.625,-71.375,NaN
211,2010-05-22T00:00:00Z,41.625,-71.125,NaN
211,2010-05-22T00:00:00Z,41.875,-71.375,NaN
211,2010-05-22T00:00:00Z,41.875,-71.125,NaN
211,2010-05-23T00:00:00Z,41.625,-71.375,NaN
211,2010-05-23T00:00:00Z,41.625,-71.125,NaN
211,2010-05-23T00:00:00Z,41.875,-71.375,NaN
211,2010-05-23T00:00:00Z,41.875,-71.125,NaN
211,2010-05-24T00:00:00Z,41.625,-71.375,NaN
211,2010-05-24T00:00:00Z,41.625,-71.125,NaN
211,2010-05-24T00:00:00Z,41.875,-71.375,NaN
211,2010-05-24T00:00:00Z,41.875,-71.125,NaN
211,2010-05-25T00:00:00Z,41.625,-71.375,NaN
211,2010-05-25T00:00:00Z,41.625,-71.125,NaN
211,2010-05-25T00:00:00Z,41.875,-71.375,NaN
211,2010-05-25T00:00:00Z,41.875,-71.125,NaN
211,2010-05-26T00:00:00Z,41.625,-71.375,NaN
211,2010-05-26T00:00:00Z,41.625,-71.125,NaN
211,2010-05-26T00:00:00Z,41.875,-71.375,NaN
211,2010-05-26T00:00:00Z,41.875,-71.125,NaN
211,2010-05-27T00:00:00Z,41.625,-71.375,NaN
211,2010-05-27T00:00:00Z,41.625,-71.125,NaN
211,2010-05-27T00:00:00Z,41.875,-71.375,NaN
211,2010-05-27T00:00:00Z,41.875,-71.125,NaN
211,2010-05-28T00:00:00Z,41.625,-71.375,NaN
211,2010-05-28T00:00:00Z,41.625,-71.125,NaN
211,2010-05-28T00:00:00Z,41.875,-71.375,NaN
211,2010-05-28T00:00:00Z,41.875,-71.125,NaN
211,2010-05-29T00:00:00Z,41.625,-71.375,NaN
211,2010-05-29T00:00:00Z,41.625,-71.125,NaN
211,2010-05-29T00:00:00Z,41.875,-71.375,NaN
211,2010-05-29T00:00:00Z,41.875,-71.125,NaN
211,2010-05-30T00:00:00Z,41.625,-71.375,NaN
211,2010-05-30T00:00:00Z,41.625,-71.125,NaN
211,2010-05-30T00:00:00Z,41.875,-71.375,NaN
211,2010-05-30T00:00:00Z,41.875,-71.125,NaN
211,2010-05-31T00:00:00Z,41.625,-71.375,NaN
211,2010-05-31T00:00:00Z,41.625,-71.125,NaN
211,2010-05-31T00:00:00Z,41.875,-71.375,NaN
211,2010-05-31T00:00:00Z,41.875,-71.125,NaN
211,2010-06-01T00:00:00Z,41.625,-71.375,NaN
211,2010-06-01T00:00:00Z,41.625,-71.125,NaN
211,2010-06-01T00:00:00Z,41.875,-71.375,NaN
211,2010-06-01T00:00:00Z,41.875,-71.125,NaN
211,2010-06-02T00:00:00Z,41.625,-71.375,NaN
211,2010-06-02T00:00:00Z,41.625,-71.125,NaN
211,2010-06-02T00:00:00Z,41.875,-71.375,NaN
211,2010-06-02T00:00:00Z,41.875,-71.125,NaN
211,2010-06-03T00:00:00Z,41.625,-71.375,NaN
211,2010-06-03T00:00:00Z,41.625,-71.125,NaN
211,2010-06-03T00:00:00Z,41.875,-71.375,NaN
211,2010-06-03T00:00:00Z,41.875,-71.125,NaN
211,2010-06-04T00:00:00Z,41.625,-71.375,NaN
211,2010-06-04T00:00:00Z,41.625,-71.125,NaN
211,2010-06-04T00:00:00Z,41.875,-71.375,NaN
211,2010-06-04T00:00:00Z,41.875,-71.125,NaN
211,2010-06-05T00:00:00Z,41.625,-71.375,NaN
211,2010-06-05T00:00:00Z,41.625,-71.125,NaN
211,2010-06-05T00:00:00Z,41.875,-71.375,NaN
211,2010-06-05T00:00:00Z,41.875,-71.125,NaN
211,2010-06-06T00:00:00Z,41.625,-71.375,NaN
211,2010-06-06T00:00:00Z,41.625,-71.125,NaN
211,2010-06-06T00:00:00Z,41.875,-71.375,NaN
211,2010-06-06T00:00:00Z,41.875,-71.125,NaN
211,2010-06-07T00:00:00Z,41.625,-71.375,NaN
211,2010-06-07T00:00:00Z,41.625,-71.125,NaN
211,2010-06-07T00:00:00Z,41.875,-71.375,NaN
211,2010-06-07T00:00:00Z,41.875,-71.125,NaN
211,2010-06-08T00:00:00Z,41.625,-71.375,NaN
211,2010-06-08T00:00:00Z,41.625,-71.125,NaN
211,2010-06-08T00:00:00Z,41.875,-71.375,NaN
211,2010-06-08T00:00:00Z,41.875,-71.125,NaN
211,2010-06-09T00:00:00Z,41.625,-71.375,NaN
211,2010-06-09T00:00:00Z,41.625,-71.125,NaN
211,2010-06-09T00:00:00Z,41.875,-71.375,NaN
211,2010-06-09T00:00:00Z,41.875,-71.125,NaN
211,2010-06-10T00:00:00Z,41.625,-71.375,NaN
211,2010-06-10T00:00:00Z,41.625,-71.125,NaN
211,2010-06-10T00:00:00Z,41.875,-71.375,NaN
211,2010-06-10T00:00:00Z,41.875,-71.125,NaN
211,2010-06-11T00:00:00Z,41.625,-71.375,NaN
211,2010-06-11T00:00:00Z,41.625,-71.125,NaN
211,2010-06-11T00:00:00Z,41.875,-71.375,NaN
211,2010-06-11T00:00:00Z,41.875,-71.125,NaN
211,2010-06-12T00:00:00Z,41.625,-71.375,NaN
211,2010-06-12T00:00:00Z,41.625,-71.125,NaN
211,2010-06-12T00:00:00Z,41.875,-71.375,NaN
211,2010-06-12T00:00:00Z,41.875,-71.125,NaN
211,2010-06-13T00:00:00Z,41.625,-71.375,NaN
211,2010-06-13T00:00:00Z,41.625,-71.125,NaN
211,2010-06-13T00:00:00Z,41.875,-71.375,NaN
211,2010-06-13T00:00:00Z,41.875,-71.125,NaN
211,2010-06-14T00:00:00Z,41.625,-71.375,NaN
211,2010-06-14T00:00:00Z,41.625,-71.125,NaN
211,2010-06-14T00:00:00Z,41.875,-71.375,NaN
211,2010-06-14T00:00:00Z,41.875,-71.125,NaN
211,2010-06-15T00:00:00Z,41.625,-71.375,NaN
211,2010-06-15T00:00:00Z,41.625,-71.125,NaN
211,2010-06-15T00:00:00Z,41.875,-71.375,NaN
211,2010-06-15T00:00:00Z,41.875,-71.125,NaN
211,2010-06-16T00:00:00Z,41.625,-71.375,NaN
211,2010-06-16T00:00:00Z,41.625,-71.125,NaN
211,2010-06-16T00:00:00Z,41.875,-71.375,NaN
211,2010-06-16T00:00:00Z,41.875,-71.125,NaN
211,2010-06-17T00:00:00Z,41.625,-71.375,NaN
211,2010-06-17T00:00:00Z,41.625,-71.125,NaN
211,2010-06-17T00:00:00Z,41.875,-71.375,NaN
211,2010-06-17T00:00:00Z,41.875,-71.125,NaN
211,2010-06-18T00:00:00Z,41.625,-71.375,NaN
211,2010-06-18T00:00:00Z,41.625,-71.125,NaN
211,2010-06-18T00:00:00Z,41.875,-71.375,NaN
211,2010-06-18T00:00:00Z,41.875,-71.125,NaN
211,2010-06-19T00:00:00Z,41.625,-71.375,NaN
211,2010-06-19T00:00:00Z,41.625,-71.125,NaN
211,2010-06-19T00:00:00Z,41.875,-71.375,NaN
211,2010-06-19T00:00:00Z,41.875,-71.125,NaN
211,2010-06-20T00:00:00Z,41.625,-71.375,NaN
211,2010-06-20T00:00:00Z,41.625,-71.125,NaN
211,2010-06-20T00:00:00Z,41.875,-71.375,NaN
211,2010-06-20T00:00:00Z,41.875,-71.125,NaN
211,2010-06-21T00:00:00Z,41.625,-71.375,NaN
211,2010-06-21T00:00:00Z,41.625,-71.125,NaN
211,2010-06-21T00:00:00Z,41.875,-71.375,NaN
211,2010-06-21T00:00:00Z,41.875,-71.125,NaN
211,2010-06-22T00:00:00Z,41.625,-71.375,NaN
211,2010-06-22T00:00:00Z,41.625,-71.125,NaN
211,2010-06-22T00:00:00Z,41.875,-71.375,NaN
211,2010-06-22T00:00:00Z,41.875,-71.125,NaN
211,2010-06-23T00:00:00Z,41.625,-71.375,NaN
211,2010-06-23T00:00:00Z,41.625,-71.125,NaN
211,2010-06-23T00:00:00Z,41.875,-71.375,NaN
211,2010-06-23T00:00:00Z,41.875,-71.125,NaN
211,2010-06-24T00:00:00Z,41.625,-71.375,NaN
211,2010-06-24T00:00:00Z,41.625,-71.125,NaN
211,2010-06-24T00:00:00Z,41.875,-71.375,NaN
211,2010-06-24T00:00:00Z,41.875,-71.125,NaN
211,2010-06-25T00:00:00Z,41.625,-71.375,NaN
211,2010-06-25T00:00:00Z,41.625,-71.125,NaN
211,2010-06-25T00:00:00Z,41.875,-71.375,NaN
211,2010-06-25T00:00:00Z,41.875,-71.125,NaN
211,2010-06-26T00:00:00Z,41.625,-71.375,NaN
211,2010-06-26T00:00:00Z,41.625,-71.125,NaN
